analysis,model_or_variant,analysis_tier,metric,cost_scenario,slice_type,slice_value,portfolio_count,unique_dates,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
allocation,without_model_view,parent_primary,net_mean_log_return,base,overall,overall,10,55,8.8861826641055928e-05,-0.00011754044543411235,0.00028609340915399076,0.28685657171414292,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,without_model_view,parent_primary,net_information_ratio,base,overall,overall,10,55,0.08539752274839707,-0.12478729102888464,0.27810800757691373,0.30334832583708143,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,without_model_view,parent_primary,net_mean_log_return,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_information_ratio,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_mean_log_return,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_information_ratio,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_mean_log_return,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_information_ratio,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_mean_log_return,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_information_ratio,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_mean_log_return,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_information_ratio,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_mean_log_return,base,period,early,10,27,0.00021428756524703339,-3.9491992900393691e-05,0.00046873067756614495,0.15242378810594703,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.66776135741652998
allocation,without_model_view,parent_primary,net_information_ratio,base,period,early,10,27,0.19694832814451446,-0.056375396697700815,0.44861900288254725,0.20989505247376311,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.69940787182166497
allocation,without_model_view,parent_primary,net_mean_log_return,base,period,late,10,28,-3.0108175419025487e-05,-0.00020215495793035824,0.00013963643802899464,0.83108445777111439,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,without_model_view,parent_primary,net_information_ratio,base,period,late,10,28,-0.10521958379402019,-0.27092624717561159,0.052053066261294557,0.45077461269365315,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.76683087027914609
allocation,without_model_view,parent_primary,net_mean_log_return,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_information_ratio,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,without_model_view,parent_primary,net_mean_log_return,base,regime,normal,6,54,-0.00012413865798295909,-0.00039507427562352133,0.00014159424775492182,0.34332833583208394,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.7178683385579937
allocation,without_model_view,parent_primary,net_information_ratio,base,regime,normal,6,54,-0.28577607514439007,-0.59380815020102151,-0.00068330511042310929,0.066466766616691653,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.40766283524904218
allocation,without_model_view,parent_primary,net_mean_log_return,base,regime,stress,8,55,0.00016079349282779312,-9.4263389093313804e-05,0.00041547288440617645,0.29435282358820591,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.7178683385579937
allocation,without_model_view,parent_primary,net_information_ratio,base,regime,stress,8,55,0.11161166011770285,-0.12392871311112305,0.35222959464054915,0.43728135932033985,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.76683087027914609
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,overall,overall,10,55,1.9599655494418429e-05,-1.4117715662712664e-05,5.0799193506313064e-05,0.15442278860569716,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,overall,overall,10,55,0.01969719665862868,-0.013487168938364364,0.049315664634043674,0.14192903548225888,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
