portfolio_name,market,requested_symbols,benchmark_symbol,requested_start,requested_end,retrieved_at_utc,provider_asof_date,observed_start,observed_end,row_count,column_count,source,source_detail,provider_chain,cache_status,canonical_price_frame_sha256,canonical_benchmark_frame_sha256,benchmark_row_count,timezone_policy,missing_policy,sandbox_allowed,warnings,snapshot_status,same_index_completeness_fallback
us_defensive_income_zero_overlap,us,"['VIG', 'USMV', 'KO', 'PEP', 'MCD']",SPY,2025-01-02,2026-08-01,2026-08-03T18:56:38+00:00,2026-07-31,2025-01-02,2026-07-31,395,5,yahoo_chart,Yahoo Finance chart API,['yahoo_chart'],miss,912ba10fb2f82e5d3b1766aa12ded63dc0489c1606cd56225c636386f2d6da5d,dffd27c7049eba8c1b0fd954cf7fcfa78ba57585ccd0e4eddf0cbfdbd55e8849,394,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
us_midcap_sector_zero_overlap,us,"['MDY', 'IJR', 'SMH', 'XLU', 'XLI']",SPY,2025-01-02,2026-08-01,2026-08-03T18:56:44+00:00,2026-07-31,2025-01-02,2026-07-31,395,5,cache,cache (yahoo_chart),['yahoo_chart'],hit,fc1da1d2109ad8112b45b1aa0cef17d30ba5da6806d5d377e3df425f9a5925a5,dffd27c7049eba8c1b0fd954cf7fcfa78ba57585ccd0e4eddf0cbfdbd55e8849,394,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
hk_insurance_industrial_zero_overlap,hk,"['2318.HK', '2020.HK', '1109.HK', '0066.HK', '02822.HK']",^HSI,2025-01-02,2026-08-01,2026-08-03T18:56:49+00:00,2026-07-31,2025-01-02,2026-07-31,387,5,yahoo_chart,Yahoo Finance chart API,['yahoo_chart'],miss,db4a4b39acbdeaba64610c2a0b9836563b380a9bf659d70398a6c7e38de81dd6,1df7e4cfac64a54f1a737335f2235d775f24e48e8dd6f0c19571df4e47f35448,386,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
hk_cross_asset_zero_overlap,hk,"['2318.HK', '2020.HK', '1109.HK', '0066.HK', '03188.HK']",^HSI,2025-01-02,2026-08-01,2026-08-03T18:56:55+00:00,2026-07-31,2025-01-02,2026-07-31,387,5,cache,cache (yahoo_chart),"['yahoo_chart', 'mixed']",hit,779a7180bee6dde60dcded35ab69123be39eaa420f595b50be54c82bd7a89c97,1df7e4cfac64a54f1a737335f2235d775f24e48e8dd6f0c19571df4e47f35448,386,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
cn_consumption_resource_zero_overlap,cn,"['000651', '600887', '002415', '600028', '601088']",000300,2025-01-02,2026-08-01,2026-08-03T18:56:56+00:00,2026-07-31,2025-01-02,2026-07-31,382,5,csindex_official,China Securities Index official index-perf endpoint (indexCode 000300),"['akshare', 'yahoo_chart_cn', 'csindex_official']",run_local_official,3d29232def56e3f7195882f97802b76ac6236abff58b1440f5c442bdb5969d44,026c8bd470f7d144c2c2a653097268ccb36d39adb42c3dcf86a1b21c3a380e74,381,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,"['000651: AKShare A-share data was unavailable; using Yahoo Finance fallback', '600887: AKShare A-share data was unavailable; using Yahoo Finance fallback', '002415: AKShare A-share data was unavailable; using Yahoo Finance fallback', '600028: AKShare A-share data was unavailable; using Yahoo Finance fallback', '601088: AKShare A-share data was unavailable; using Yahoo Finance fallback', '601088: China A-share close price was unchanged for 11 consecutive observations; check for suspension or stale data.', '000300: AKShare benchmark data was unavailable; using Yahoo Finance fallback', '000300: primary benchmark route was temporally incomplete; used the frozen same-index official CSIndex route']",acquired_hashed_before_scoring,true
cn_state_resource_zero_overlap,cn,"['601857', '600028', '601088', '000651', '600887']",000300,2025-01-02,2026-08-01,2026-08-03T18:57:08+00:00,2026-07-31,2025-01-02,2026-07-31,382,5,csindex_official,China Securities Index official index-perf endpoint (indexCode 000300),"['yahoo_chart_cn', 'csindex_official']",run_local_official,ed84bdc896609b5d9bf09783b5c6953af8fca337460b5ced2eade3495b86efc9,026c8bd470f7d144c2c2a653097268ccb36d39adb42c3dcf86a1b21c3a380e74,381,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,"['601857: AKShare A-share data was unavailable; using Yahoo Finance fallback', '601088: China A-share close price was unchanged for 11 consecutive observations; check for suspension or stale data.', '000300: AKShare benchmark data was unavailable; using Yahoo Finance fallback', '000300: primary benchmark route was temporally incomplete; used the frozen same-index official CSIndex route']",acquired_hashed_before_scoring,true
jp_financial_domestic_zero_overlap,jp,"['8316.T', '8766.T', '7011.T', '9433.T', '4452.T']",^N225,2025-01-02,2026-08-01,2026-08-03T18:57:11+00:00,2026-07-31,2025-01-06,2026-07-31,384,5,yahoo_chart,Yahoo Finance chart API,['yahoo_chart'],miss,6d0d0106324f1248a75131058df9894810a228b125d85b0da65e8d0206cd80af,e92579a94147ee68c97aa5bc2758959ed6764536bc89adaa53f268efad8d838f,383,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
jp_etf_style_zero_overlap,jp,"['1475.T', '1489.T', '2516.T', '8316.T', '9020.T']",^N225,2025-01-02,2026-08-01,2026-08-03T18:57:16+00:00,2026-07-31,2025-01-06,2026-07-31,384,5,yahoo_chart,Yahoo Finance chart API,['yahoo_chart'],miss,ff214569cdafcc6dd7cbbd37d6db1b377262d0bff24597615be214a436c8bd77,e92579a94147ee68c97aa5bc2758959ed6764536bc89adaa53f268efad8d838f,383,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
tw_income_factor_zero_overlap,tw,"['00878.TW', '00919.TW', '2882.TW', '2382.TW', '2891.TW']",^TWII,2025-01-02,2026-08-01,2026-08-03T18:57:22+00:00,2026-07-31,2025-01-02,2026-07-31,382,5,yahoo_chart,Yahoo Finance chart API,['yahoo_chart'],miss,d678cf0afd30a9ed9fc22f3533627bbff5b7b7b2414d55045dca020d1b722132,8d7e6dacb75806c46a6cc8428d3c3b7e32902eb9660babda6226ab6b6489f216,380,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
tw_supply_chain_zero_overlap,tw,"['2357.TW', '2882.TW', '2382.TW', '2891.TW', '00878.TW']",^TWII,2025-01-02,2026-08-01,2026-08-03T18:57:28+00:00,2026-07-31,2025-01-02,2026-07-31,382,5,cache,cache (yahoo_chart),"['yahoo_chart', 'mixed']",hit,d19e253fb7f014ffb60cbb9cb41e029325ff7e2e5eaa26a362b81e5b39be88da,8d7e6dacb75806c46a6cc8428d3c3b7e32902eb9660babda6226ab6b6489f216,380,provider daily timestamp -> timezone-naive session date; exchange-calendar alignment follows,invalid date/close dropped; duplicate date keeps last; portfolio matrix uses complete aligned rows,False,[],acquired_hashed_before_scoring,false
