deviation_id,category,stage,portfolio_name,market,model_or_variant,date_start,date_end,allowed_by_protocol,fatal,reason,handling,result_rows_affected,recorded_at_utc
D0001,predeclared_provider_fallback,snapshot_acquisition,hk_cross_asset_zero_overlap,hk,,2026-05-18,2026-07-31,True,False,yahoo_chart|mixed,retained provider chain and warnings; no substitution,retained_not_imputed,2026-08-03T18:56:56+00:00
D0002,predeclared_provider_fallback,snapshot_acquisition,cn_consumption_resource_zero_overlap,cn,,2026-05-18,2026-07-31,True,False,akshare|yahoo_chart_cn,retained provider chain and warnings; no substitution,retained_not_imputed,2026-08-03T18:57:08+00:00
D0003,predeclared_provider_fallback,snapshot_acquisition,cn_state_resource_zero_overlap,cn,,2026-05-18,2026-07-31,True,False,yahoo_chart_cn,retained provider chain and warnings; no substitution,retained_not_imputed,2026-08-03T18:57:11+00:00
D0004,predeclared_provider_fallback,snapshot_acquisition,tw_supply_chain_zero_overlap,tw,,2026-05-18,2026-07-31,True,False,yahoo_chart|mixed,retained provider chain and warnings; no substitution,retained_not_imputed,2026-08-03T18:57:29+00:00
D0005,predeclared_same_index_temporal_completeness_fallback,snapshot_acquisition,cn_consumption_resource_zero_overlap,cn,,2026-05-18,2026-07-31,True,False,primary_observed_end=2026-07-17,same index code retained; official CSIndex frame passed frozen identity and temporal gates,retained_not_imputed,2026-08-03T18:57:30+00:00
D0006,predeclared_same_index_temporal_completeness_fallback,snapshot_acquisition,cn_state_resource_zero_overlap,cn,,2026-05-18,2026-07-31,True,False,primary_observed_end=2026-07-17,same index code retained; official CSIndex frame passed frozen identity and temporal gates,retained_not_imputed,2026-08-03T18:57:30+00:00
D0007,model_convergence_or_optimizer_failure,fit_calibrate_predict,,,temporal_mlp,2026-05-18,2026-07-31,True,False,ConvergenceWarning: Stochastic Optimizer: Maximum iterations (40) reached and the optimization hasn't converged yet.,successful warned model repeat retained without tuning,retained_not_imputed,2026-08-03T18:59:47+00:00
D0008,model_convergence_or_optimizer_failure,fit_calibrate_predict,,,temporal_mlp,2026-05-18,2026-07-31,True,False,ConvergenceWarning: Stochastic Optimizer: Maximum iterations (40) reached and the optimization hasn't converged yet.,successful warned model repeat retained without tuning,retained_not_imputed,2026-08-03T18:59:47+00:00
D0009,model_convergence_or_optimizer_failure,fit_calibrate_predict,,,temporal_mlp,2026-05-18,2026-07-31,True,False,ConvergenceWarning: Stochastic Optimizer: Maximum iterations (40) reached and the optimization hasn't converged yet.,successful warned model repeat retained without tuning,retained_not_imputed,2026-08-03T18:59:47+00:00
D0010,model_convergence_or_optimizer_failure,fit_calibrate_predict,,,temporal_mlp,2026-05-18,2026-07-31,True,False,ConvergenceWarning: Stochastic Optimizer: Maximum iterations (40) reached and the optimization hasn't converged yet.,successful warned model repeat retained without tuning,retained_not_imputed,2026-08-03T18:59:47+00:00
