evidence_class,artifact_version,horizon,role_or_panel,probability_source,validation_status,evaluation_status,rows,positive_events,threshold,flag_count,true_positive_count,flag_rate,precision,recall,maximum_probability,boundary,roc_auc,average_precision,calibration_error
legacy_degraded_diagnostic,v1_legacy,1,partial_security_overlap_panel,legacy_isotonic_probability,degraded_validation,reported_legacy_diagnostic,34238,1840,0.6,11.0,6.0,0.00032128044862433556,0.5454545454545454,0.003260869565217391,1.0,degraded artifact; 19/20 configured portfolios overlap training; calendar overlap,,,
legacy_degraded_diagnostic,v1_legacy,1,security_disjoint_warning_only_panel,legacy_isotonic_probability,degraded_validation,reported_legacy_diagnostic,18097,934,0.6,8.0,4.0,0.00044206222025750127,0.5,0.004282655246252677,1.0,degraded artifact; security-disjoint warning-only; calendar overlap,,,
legacy_degraded_diagnostic,v1_legacy,5,partial_security_overlap_panel,legacy_isotonic_probability,degraded_validation,reported_legacy_diagnostic,34086,1930,0.6,0.0,0.0,0.0,0.0,0.0,0.2195121943950653,degraded artifact; 19/20 configured portfolios overlap training; calendar overlap,,,
legacy_degraded_diagnostic,v1_legacy,5,security_disjoint_warning_only_panel,legacy_isotonic_probability,degraded_validation,reported_legacy_diagnostic,18017,1033,0.6,0.0,0.0,0.0,0.0,0.0,0.2195121943950653,degraded artifact; security-disjoint warning-only; calendar overlap,,,
v2_non_degraded_primary,v2_h1_accepted,1,validation,raw_binary_logistic_probability,ok,reported_validation,11006,505,0.6,1783.0,144.0,0.16200254406687262,0.08076275939427931,0.2851485148514851,1.0,same-security temporal validation; used only for the frozen gate,0.5992831422938504,0.06796872024774969,0.4270187397068595
v2_non_degraded_primary,v2_h1_accepted,1,validation,isotonic_probability_fit_on_independent_calibration,ok,reported_validation,11006,505,0.6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,same-security temporal validation; used only for the frozen gate,0.5979212729386452,0.06587535765820263,0.007925741835954271
v2_non_degraded_primary,v2_h1_accepted,1,final_test,raw_binary_logistic_probability,ok,reported_after_validation_acceptance,5768,272,0.6,736.0,81.0,0.1276005547850208,0.11005434782608696,0.2977941176470588,1.0,same-security post-acceptance temporal test; unused for selection/acceptance,0.6303595128007535,0.10234273427932986,0.4057613844426553
v2_non_degraded_primary,v2_h1_accepted,1,final_test,isotonic_probability_fit_on_independent_calibration,ok,reported_after_validation_acceptance,5768,272,0.6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,same-security post-acceptance temporal test; unused for selection/acceptance,0.6230166056597312,0.08533206622165831,0.002675520206194472
v2_failed_validation,v2_h5_failed,5,validation,raw_binary_logistic_probability,degraded_validation,reported_validation,10873,549,0.6,1666.0,117.0,0.15322358134829395,0.0702280912364946,0.21311475409836064,1.0,same-security validation; ROC-AUC gate failed,0.55976762723814,0.06328858464517792,0.39629874527824405
v2_failed_validation,v2_h5_failed,5,validation,isotonic_probability_fit_on_independent_calibration,degraded_validation,reported_validation,10873,549,0.6,0.0,0.0,0.0,0.0,0.0,0.2,same-security validation; ROC-AUC gate failed,0.5588784052438691,0.06015543191969036,0.00842063122566554
v2_failed_validation,v2_h5_failed,5,final_test,calibrated,degraded_validation,not_opened_validation_gate_failed,5668,251,0.6,,,,,,,not opened because the validation gate failed,,,
