analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,xgboost_retrained_comparator,average_precision,overall,overall,5,5,54,50,10,-0.0046850507773970318,-0.0091469625870842734,0.00046158066336620486,0.039480259870064968,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,xgboost_retrained_comparator,brier_score,overall,overall,5,5,54,50,10,8.6882883998662397e-06,-0.00013728486502541485,0.00012562379239163012,0.86456771614192907,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,xgboost_retrained_comparator,recall_at_frozen_threshold,overall,overall,5,5,54,50,10,-0.024,-0.061676560134709908,0.020763047866205295,0.25787106446776614,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,xgboost_retrained_comparator,average_precision,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,brier_score,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,recall_at_frozen_threshold,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,average_precision,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,brier_score,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,recall_at_frozen_threshold,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,average_precision,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,brier_score,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,recall_at_frozen_threshold,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,average_precision,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,xgboost_retrained_comparator,brier_score,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
