analysis_id,strategy_label,cost_scenario,cost_label,portfolio_count,row_count,net_mean_log_return,net_information_ratio,mean_one_way_turnover,realized_cost,net_cumulative_return,benchmark_cumulative_return,net_benchmark_excess_return
equal_weight,Equal weight,low,5 bp,10,530,0.0010736501061562713,0.872097745991642,0.02111197673202713,0.00031667965098040694,0.7665607129027348,0.09601447912388328,0.6705462337788515
equal_weight,Equal weight,base,12 bp,10,530,0.0010728135717764033,0.8712900517799526,0.02111197673202713,0.0007600311623529766,0.7657776584559852,0.09601447912388328,0.6697631793321019
equal_weight,Equal weight,high,25 bp,10,530,0.0010712599596511465,0.8697898397544891,0.02111197673202713,0.0015833982549020348,0.7643242901025735,0.09601447912388328,0.6683098109786902
inverse_volatility,Inverse volatility,low,5 bp,10,530,0.0011307811804331604,0.9326239891291993,0.04403982718027478,0.0006605974077041217,0.8208693022044344,0.09601447912388328,0.7248548230805512
inverse_volatility,Inverse volatility,base,12 bp,10,530,0.0011290360675860823,0.9309261493880283,0.04403982718027478,0.0015854337784898924,0.8191859409246907,0.09601447912388328,0.7231714618008074
inverse_volatility,Inverse volatility,high,25 bp,10,530,0.001125794840914933,0.9277716789665675,0.04403982718027478,0.003302987038520609,0.8160635347899481,0.09601447912388328,0.7200490556660648
mean_variance,Mean variance,low,5 bp,10,530,0.0010831379810564074,0.8701293283270585,0.14935546479647802,0.0022403319719471707,0.7754663662388805,0.09601447912388328,0.6794518871149973
mean_variance,Mean variance,base,12 bp,10,530,0.0010772193130857352,0.864485324282279,0.14935546479647802,0.005376796732673208,0.7699056426641202,0.09601447912388328,0.6738911635402369
mean_variance,Mean variance,high,25 bp,10,530,0.0010662257309765513,0.8539962073595935,0.14935546479647802,0.011201659859735853,0.7596230982890888,0.09601447912388328,0.6636086191652055
prior_only_bl,Prior-only BL,low,5 bp,10,530,0.0011278575529524932,0.9288734356760456,0.03597904599695652,0.0005396856899543478,0.8180500089765363,0.09601447912388328,0.7220355298526531
prior_only_bl,Prior-only BL,base,12 bp,10,530,0.0011264318805186712,0.9274878254638153,0.03597904599695652,0.0012952456558904346,0.8166767976415144,0.09601447912388328,0.7206623185176311
prior_only_bl,Prior-only BL,high,25 bp,10,530,0.0011237840117276582,0.9249137059748774,0.03597904599695652,0.0026984284497717386,0.8141291151790044,0.09601447912388328,0.7181146360551212
smart_policy,Smart policy,low,5 bp,10,530,0.0010283910085992116,0.832124408534097,0.1263196144603547,0.0018947942169053205,0.7246898454142996,0.09601447912388328,0.6286753662904163
smart_policy,Smart policy,base,12 bp,10,530,0.0010233853011595198,0.8272826761524041,0.1263196144603547,0.0045475061205727686,0.720120264521722,0.09601447912388328,0.6241057853978387
smart_policy,Smart policy,high,25 bp,10,530,0.0010140876965059368,0.8182850092905999,0.1263196144603547,0.0094739710845266,0.7116648256601559,0.09601447912388328,0.6156503465362726
smart_policy_oos_guard,Smart policy + OOS guard,low,5 bp,10,530,0.001037425754602712,0.8396503039832898,0.12039178359667625,0.0018058767539501433,0.7329681810360547,0.09601447912388328,0.6369537019121714
smart_policy_oos_guard,Smart policy + OOS guard,base,12 bp,10,530,0.0010326549651555525,0.8350297860352706,0.12039178359667625,0.004334104209480344,0.7285918742093771,0.09601447912388328,0.6325773950854938
smart_policy_oos_guard,Smart policy + OOS guard,high,25 bp,10,530,0.0010237937278605445,0.8264437331202399,0.12039178359667625,0.009029383769750718,0.7204926526388316,0.09601447912388328,0.6244781735149483
