model,model_label,repeats,roc_auc,average_precision,brier_score,recall_at_cost_threshold,flag_rate_at_cost_threshold,recall_at_legacy_0_60,top_decile_lift
accepted_v2_h1_frozen_artifact,Accepted H1 artifact,1,0.5663559322033899,0.12409287883665523,0.08759023022303299,0.08,0.06704980842911877,0.0,1.3788679245283018
caviar_sav,SAV-CAViaR,1,0.49279661016949156,0.12730618044697273,0.08825417084195201,0.08,0.019157088122605363,0.0,1.1818867924528302
garch_1_1,"GARCH(1,1)",1,0.43423728813559326,0.09902252677156351,0.08837502012249925,0.1,0.0421455938697318,0.0,1.1818867924528302
gradient_boosting,Gradient boosting,5,0.5869364406779661,0.12911712409885295,0.0873938275051783,0.176,0.1103448275862069,0.0,1.772830188679245
historical_es,Historical ES,1,0.5,0.09578544061302682,0.08827885806761607,0.0,0.0,0.0,1.3788679245283018
historical_tail_threshold,Historical tail threshold,1,0.45809322033898303,0.09426973180076628,0.089014399283612,0.0,0.0,0.0,0.3939622641509434
historical_var,Historical VaR,1,0.5,0.09578544061302682,0.08831449326328314,0.0,0.0,0.0,1.3788679245283018
logistic_regression,Logistic regression,1,0.471822033898305,0.09159679243577724,0.08961835973709206,0.0,0.02490421455938697,0.0,0.7879245283018868
quantile_regression,Quantile regression,1,0.47817796610169494,0.09607339241193014,0.08900685587971999,0.0,0.01532567049808429,0.0,0.9849056603773585
random_forest,Random forest,5,0.5417796610169492,0.11461179280742165,0.08789205054244094,0.10400000000000001,0.06896551724137931,0.0,1.6940377358490566
temporal_mlp,Temporal MLP,5,0.5334576271186441,0.11345591215229837,0.08824435754736665,0.012,0.006130268199233716,0.0,1.4576603773584904
xgboost_retrained_comparator,Retrained XGBoost,5,0.5698898305084745,0.11995462487902209,0.08759891851143284,0.05600000000000001,0.04636015325670498,0.0,1.4576603773584904
